Abbreviation	Format	Prefered	Keyword	Type	Comment	Reference	Length	Rank_gross	Rank_detail	Region	Web link	Concatenated	Separable
K	UPPER	-10	1000	Measurement		UC Berkeley	1	1	3	United States of America			
C	UPPER	-10	 Celsius (degrees)	Measurement		UC Berkeley	1	1	3	United States of America			
Abv	MiXeD	0	Above			USGS	3	1	2	United States of America			
Abut	MiXeD	0	Abutment			USGS	4	1	2	United States of America			
Acad	MiXeD	0	Academy			USGS	4	1	2	United States of America			
Adj	MiXeD	0	Adjacent			Ordnance Survey (UK)	3	10	10	United Kingdom			
Adm	MiXeD	0	Administration			USGS	3	1	2	United States of America			
Admin Co	MiXeD	0	Administrative County	Region		Ordnance Survey (UK)	8	10	10	United Kingdom			
Ad Co	MiXeD	0	Administrative County	Region		Ordnance Survey (UK)	5	10	10	United Kingdom			
Adm	MiXeD	0	Admiral	Title		UC Berkeley	3	1	3	United States of America			
Adm	MiXeD	0	Admiralty	Office		UC Berkeley	3	1	3	United States of America			
Aero	MiXeD	0	Aeronautical			USGS	4	1	2	United States of America			
Agcy	MiXeD	0	Agency			USGS	4	1	2	United States of America			
Agr	MiXeD	0	Agriculture	Landcover		USGS	3	1	2	United States of America			
Ag	MiXeD	100	Agriculture	Landcover		Benchmark	2	1	1	United States of America			
AB	UPPER	0	Air base	Cultural		UC Berkeley	2	1	3	United States of America	http://www.lib.berkeley.edu/EART/abbreviations_A-K		
AFB	UPPER	0	Air Force Base			USGS	3	1	2	United States of America			
A.F.B.	Exact	0	Air Force Base	Feature		Nat'l Geo. N. Amer. Atlas	6	1	1	United States of America			
AFS	UPPER	0	Air Force station	Cultural		UC Berkeley	3	1	3	United States of America			
A/C	UPPER	0	Aircraft	Cultural		UC Berkeley	3	1	3	United States of America			
Afld	MiXeD	0	Airfield	Transport		USGS	4	1	2	United States of America			
Aprt	MiXeD	0	Airport	Transport		USGS	4	1	2	United States of America			
Awy	MiXeD	0	Airway	Transport		USGS	3	1	2	United States of America			
Ala	MiXeD	0	Alabama	Admin-1		UC Berkeley	3	1	3	United States of America			
AL	UPPER	0	Alabama	Admin-1		UC Berkeley	2	1	3	United States of America			
AK	UPPER	0	Alaska	Admin-1		UC Berkeley	2	1	3	United States of America			
Alas	MiXeD	0	Alaska	Admin-1		Nat'l Geo. N. Amer. Atlas	4	1	1	United States of America			
ANV	UPPER	0	Alaska Native village	Region		UC Berkeley	3	1	3	United States of America			
ANVSA	UPPER	0	Alaska Native village statistical area	Region		UC Berkeley	5	1	3	United States of America			
Alta	MiXeD	0	Alberta	Admin-1		Nat'l Geo. N. Amer. Atlas	4	1	1	Canada			
Alk	MiXeD	0	Alkali	Landform		USGS	3	1	2	United States of America			
ATV	UPPER	100	All Terrain Vehicle	Transport		Benchmark	3	1	1	United States of America			
A	UPPER	-10	Alley	Transport		Ordnance Survey (UK)	1	10	10	United Kingdom	http://www.ordnancesurvey.co.uk/oswebsite/aboutus/reports/misc/abbreviations.html		
AL	UPPER	0	Alley	Transport		Ordnance Survey (UK)	2	10	10	United Kingdom			
Alluv	MiXeD	0	Alluvial	Landform		USGS	5	1	2	United States of America			
Alt	MiXeD	0	Alternate	Transport		USGS	3	1	2	United States of America			
Alt	MiXeD	0	Altitude	Measurement		UC Berkeley	3	1	3	United States of America			
Amb Sta	MiXeD	0	Ambulance Station	Point of interest		UC Berkeley	7	1	3	United States of America			
Anch	MiXeD	0	Anchorage	City		USGS	4	1	2	United States of America			
Anc	MiXeD	0	Ancient	Time		USGS	3	1	2	United States of America			
