City	Country	Nickname, comma seperated EDIT HERE, free form list	Nickname, default	Nickname, metro (div)	Someone from here is called	Plural form (demonym)	Type	Scale	Megacity	State or province	Lat	Long	GeoNamesID
Aarhus	Denmark	Capital of Jutland, City of Smiles, The world's smallest big city					Admin-1 capital		0	Midtjylland	56.16	10.21	2624652
Abeche	Chad						Admin-1 capital	3	0	Ouaddaï	13.84	20.83	245785
Aberdeen	United States of America						Populated place	7	0	South Dakota	45.47	-98.49	5225857
Aberdeen	United States of America						Populated place	7	0	Washington	46.97	-123.81	5785243
Aberdeen	United Kingdom	Granite City, Oil Capital of Europe	Granite City		Aberdonian	Aberdonians	Populated place						
Abidjan	Ivory Coast						Admin-0 capital	1	1	Lagunes	5.32	-4.04	2293538
Abilene	United States of America	Lene Town	Lene Town				Populated place	6	0	Texas	32.45	-99.73	4669635
Abu Dhabi	United Arab Emirates	Scabby Dhabi					Admin-0 capital	3	0	Abu Dhabi	24.47	54.37	292968
Abuja	Nigeria						Admin-0 capital	3	1	Federal Capital Territory	9.08	7.53	2322794
Acapulco	Mexico	La Perla del Pacífico			acapulqueño -a		Populated place	3	0	Guerrero	16.85	-99.92	3533462
Accra	Ghana						Admin-0 capital	1	1	Greater Accra	5.55	-0.22	2306104
Ad Damman	Saudi Arabia						Admin-1 capital	7	1	Ash Sharqiyah	26.43	50.1	110336
Adana	Turkey						Admin-1 capital	4	1	Adana	36.99	35.32	325363
Addis Ababa	Ethiopia	Addis	Addis				Admin-0 capital	1	1	Addis Ababa	9.03	38.7	344979
Adelaide	Australia	Adders, Addie	Adders		Adelaidian	Adelaidians	Admin-1 capital	3	1	South Australia	-34.93	138.6	2078025
Aden	Yemen						Admin-1 capital	3	0	`Adan	12.78	45.01	415189
Agadez	Niger						Admin-1 capital	3	0	Agadez	17	7.98	2447938
Agana	Guam						Admin-0 region capital	6	0		13.47	144.75	4044012
Agra	India						Populated place	4	1	Uttar Pradesh	27.17	78.02	1279259
Aguascalientes	Mexico	Aguas			hidrocálido -a		Admin-1 capital	6	1	Aguascalientes	21.88	-102.29	4019233
Ahmedabad	India						Populated place	1	1	Dadra and Nagar Haveli	23.03	72.58	1279233
Ahvaz	Iran						Admin-1 capital	4	1	Khuzestan	31.28	48.72	144448
Aiken	United States of America						Populated place	7	0	South Carolina	33.55	-81.72	4569067
Akron	United States of America	Rubber City, City of Invention, Rubber Capital of the World, Summit City, Tire City, ACR	Rubber City				Populated place	7	0	Ohio	41.07	-81.52	5145476
Al Hudaydah	Yemen						Admin-1 capital	6	1	Al Hudaydah	14.8	42.95	79415
Alamogordo	United States of America						Populated place	6	0	New Mexico	32.9	-105.96	5454627
Albany	United States of America						Populated place	7	0	Georgia	31.58	-84.16	4179320
Albany	United States of America	Cradle of the Union, Smallbany	Cradle of the Union				Admin-1 capital	6	0	New York	42.67	-73.82	5106834
Albany	United States of America						Populated place	7	0	Oregon	44.62	-123.09	5710756
Albert Lea	United States of America						Populated place	8	0	Minnesota	43.65	-93.37	5016024
Albuquerque	United States of America	Duke City, Burque, The Q	Duke City				Populated place	4	0	New Mexico	35.1	-106.64	5476960
Aleppo	Syria	Ash-Shahbaa	Ash-Shahbaa				Populated place	1	1	Aleppo (Halab)	36.23	37.17	170063
Alexandria	Egypt	Pearl of the Mediterranean					Populated place	1	1	Al Iskandariyah	31.2	29.95	361058
Alexandria	United States of America						Populated place	6	0	Louisiana	31.31	-92.45	4314550
Alexandria	United States of America	AV, Old Town	AV				Populated place	7	0	Virginia	38.82	-77.1	4744091
Algiers	Algeria	Algiers the White, Algiers the Dazzling, El-Bahdja, jazā’ir banī mazghannā					Admin-0 capital	1	1	Alger	36.76	3.05	2507480
Alice	United States of America						Populated place	8	0	Texas	27.75	-98.07	4670234
Alice Springs	Australia	Alice, The Alice	Alice				Populated place	3	0	Northern Territory	-23.7	133.88	2077895
Aligarh	India						Populated place	4	1	Uttar Pradesh	27.89	78.06	1279017
Allahabad	India						Populated place	4	1	Uttar Pradesh	25.45	81.84	1278994
Allakaket	United States of America						Populated place	8	0	Alaska	66.57	-152.65	-1
Allentown	United States of America	atown	atown				Populated place	8	0	Pennsylvania	40.6	-75.5	5178127
Alliance	United States of America						Populated place	8	0	Nebraska	42.1	-102.87	5693164
Almaty	Kazakhstan						Admin-1 capital	3	1	Almaty	43.32	76.92	1526384
Alpena	United States of America						Populated place	8	0	Michigan	45.06	-83.43	4984075
Alpine	United States of America						Populated place	8	0	Texas	30.36	-103.67	5516203
Alton	United States of America						Populated place	7	0	Illinois	38.89	-90.18	4232679
Altoona	United States of America						Populated place	8	0	Pennsylvania	40.52	-78.39	5178195
Amarillo	United States of America						Populated place	4	0	Texas	35.23	-101.83	5516233
Ambler	United States of America						Populated place	7	0	Alaska	67.09	-157.85	-1
Amersfoort	Netherlands	Keistad	Keistad				Populated place			Utrecht			
Ames	United States of America						Populated place	7	0	Iowa	42.05	-93.62	4846834
Amman	Jordan						Admin-0 capital	3	1	Amman	31.95	35.93	250441
Amritsar	India						Populated place	3	1	Punjab	31.64	74.87	1278710
Amsterdam	Netherlands	Mokum, 020, Northern Venice, Venice of the North	Mokum				Admin-0 capital	1	1	Noord-Holland	52.35	4.92	2759794
Anadyr	Russia						Admin-1 capital	3	0	Chukchi Autonomous Okrug	64.74	177.47	2127202
Anchorage	United States of America	The City of Lights and Flowers, Anchortown					Populated place	3	0	Alaska	61.22	-149.9	5879400
Anderson	United States of America						Populated place	7	0	South Carolina	34.5	-82.65	4569298
Andorra	Andorra						Admin-0 capital	6	0		42.5	1.52	3130067
Aniak	United States of America						Populated place	7	0	Alaska	61.58	-159.52	-1
Ankara	Turkey						Admin-0 capital	1	1	Ankara	39.93	32.86	323786
Ann Arbor	United States of America	A2, A-squared, Ace Deuce, AA	A2				Populated place	7	0	Michigan	42.3	-83.72	4984247
Annapolis	United States of America	Naptown, Crabtown	Naptown				Admin-1 capital	8	0	Maryland	38.98	-76.49	4347242
Anoka	United States of America	Halloween Capital of the World					Populated place			Minneapolis			
Anshan	China						Populated place	4	1	Liaoning	41.12	122.94	2038632
Anshun	China						Populated place	6	1	Guizhou	26.25	105.93	1817968
Antalya	Turkey						Admin-1 capital	6	1	Antalya	36.89	30.7	323777
Antananarivo	Madagascar						Admin-0 capital	3	1	Antananarivo	-18.92	47.52	1070940
Antofagasta	Chile						Admin-1 capital	3	0	Antofagasta	-23.65	-70.4	3899539
Antwerpen	Belgium	The Metropole	The Metropole	The Metropole			Admin-1 capital	6	1	Antwerp	51.22	4.42	2803138
Anyang	China						Populated place	6	1	Henan	36.08	114.35	1785294
Apalachicola	United States of America						Populated place	7	0	Florida	29.73	-84.99	4146148
Apia	Samoa						Admin-0 capital	3	0		-13.84	-171.74	3689793
Appleton	United States of America						Populated place	8	0	Wisconsin	44.27	-88.4	5244080
Arcata	United States of America						Populated place	7	0	California	40.89	-124.09	5558953
Archangelsk	Russia						Populated place	3	0	Arkhangel'sk	64.57	40.55	581049
Arctic Bay	Canada						Populated place	3	0	Nunavut	73.03	-85.17	-1
Ardmore	United States of America						Populated place	8	0	Oklahoma	34.18	-97.13	4529469
Arequipa	Peru	Ciudad Blanca, White City	Ciudad Blanca				Admin-1 capital	4	1	Arequipa	-16.42	-71.53	3947322
Asansol	India						Populated place	3	1	West Bengal	23.68	86.98	1278314
Asheville	United States of America	Land of the Sky					Populated place	7	0	North Carolina	35.6	-82.55	4453066
Ashgabat	Turkmenistan						Admin-0 capital	3	0	Ahal	37.95	58.38	162183
Asmara	Eritrea						Admin-0 capital	3	0	Anseba	15.33	38.93	343300
Astana	Kazakhstan						Admin-0 capital	3	0	Aqmola	51.18	71.43	1526273
Astoria	United States of America						Populated place	7	0	Oregon	46.19	-123.83	5711847
Asuncion	Paraguay						Admin-0 capital	3	1	Asunción	-25.3	-57.64	1730025
Atar	Mauritania						Admin-1 capital	3	0	Adrar	20.52	-13.05	2381334
Athens	Greece	The cradle of Western civilization			Athenian	Athenians	Admin-0 capital	1	1	Attiki	37.98	23.73	264371
Athens	United States of America						Populated place	7	0	Georgia	33.96	-83.38	4180386
Atka	United States of America						Populated place	7	0	Alaska	52.2	-174.2	-1
Atlanta	United States of America	Hotlanta, ATL, The Big Peach, A-Town	Hotlanta	ATL	Atlantan	Atlantans	Admin-1 capital	1	1	Georgia	33.83	-84.4	4180439
Atlantic City	United States of America	A.C., AC, America's Playground	AC				Populated place	7	0	New Jersey	39.36	-74.42	4500546
Atqasuk	United States of America						Populated place	8	0	Alaska	70.47	-157.4	-1
Auburn	United States of America	AUB	AUB				Populated place	8	0	Alabama	32.61	-85.48	4830796
Auckland	New Zealand	Aucklander, JAFFA				Aucklanders, JAFFAs				Auckland	36 55 S	174 47 E	
Auckland	New Zealand	City of Sails, Dorkland, Orcland, The Queen City, Sydney for Beginners, Jafastan	City of Sails		Auckland	Aucklanders ("Jafas")	Admin-1 capital	1	1	Auckland	-36.85	174.76	2193733
Augusta	United States of America						Populated place	6	0	Georgia	33.46	-81.98	4180531
Augusta	United States of America						Admin-1 capital	4	0	Maine	44.31	-69.78	4957003
Aurangabad	India						Populated place	4	1	Maharashtra	19.9	75.32	1278149
Aurora	United States of America						Populated place	8	0	Colorado	39.7	-104.81	5412347
Aurora	United States of America						Populated place	7	0	Illinois	41.77	-88.3	4883817
Austin	United States of America	Nerftown USA, Live Music Capital of the World, Keep Austin Weird, A-Town, ATX, The ATX	Nerftown		Austinite	Austinite	Admin-1 capital	4	1	Texas	30.27	-97.74	4671654
Baghdad	Iraq	The city of Thousand and One Nights					Admin-0 capital	1	1	Baghdad	33.34	44.39	98182
Baguio City	Philippines	City of Pines, Summer capital of the Philippines	City of Pines				Admin-0 capital	4	0	Benguet	16.43	120.57	1728930
Bahia Blanca	Argentina						Populated place	3	0	Ciudad de Buenos Aires	-38.74	-62.27	3865086
Bakersfield	United States of America	California's Country Music Capital, Hicksville, The Armpit of California					Populated place	6	0	California	35.37	-119.02	5325738
Baku	Azerbaijan						Admin-0 capital	3	1	Baki	40.4	49.86	587084
Baltimore	United States of America	Charm City, Ravenstown, B'more, Balmer Murlin, Harm City	Charm City		Baltimorean, Baltimoron, Hon	Baltimoreans	Populated place	4	1	Maryland	39.3	-76.62	4347778
Bamako	Mali	BKO			Bamakois		Admin-0 capital	3	1	Bamako	12.65	-8	2460596
Banaras	India	Luminous City	Luminous City										
Bandar Lampung	Indonesia						Populated place	4	1	Lampung	-5.43	105.27	1624917
Bandar Seri Begawan	Brunei						Admin-0 capital	3	0	Brunei and Muara	4.88	114.93	1820906
Bandjarmasin	Indonesia						Admin-1 capital	3	0	Kalimantan Selatan	-3.33	114.58	1650213
Bandung	Indonesia						Admin-1 capital	1	1	Jawa Barat	-6.95	107.57	1650357
Bangalore	India	Silicon Valley of India, City of Gardens					Admin-1 capital	1	1	Karnataka	12.97	77.56	1277333
Banghazi	Libya						Admin-1 capital	3	1	Benghazi	32.12	20.07	88319
Bangkok	Thailand	The Big Mango, Venice of the East, Bangers, Sin City, Porn Central, Krung Thep, Krung Thep Maha Nakhon, City of Angels, Krung Thep Mahanakhon Amon Rattanakosin Mahinthara Ayuthaya Mahadilok Phop Noppharat Ratchathani Burirom Udomratchaniwet Mahasathan Amon Piman Awatan Sathit Sakkathattiya Witsanukam Prasit	The Big Mango		Bangkokian	Bangkokians	Admin-0 capital	1	1	Bangkok Metropolis	13.75	100.52	1609350
Bangor	United States of America	The Queen City of the East					Populated place	6	0	Maine	44.8	-68.78	4957280
Bangui	Central African Republic						Admin-0 capital	3	0	Bangui	4.37	18.56	2389853
Banja Luka	Bosnia and Herzegovina						Admin-0 region capital	7	0	Serbian Republic	44.78	17.18	3204541
Banjul	The Gambia						Admin-0 capital	4	0	Banjul	13.45	-16.59	2413876
Baoding	China						Populated place	7	1	Hebei	38.87	115.48	1816971
Baotou	China						Populated place	1	1	Nei Mongol	40.65	109.82	2038432
Bar Harbor	United States of America						Populated place	7	0	Maine	44.39	-68.2	4957320
Barcelona	Spain	Ciudad Condal, Ciutat Comtal, City of Counts,
Barna, BCN, Bar-Cel-Ona (in catalan Pub, Sky and wave)	Ciudad Condal		Barcelonian, barcelonés, barcelonense		Admin-1 capital	1	1	Cataluña	41.38	2.18	3128760
Bareilly	India						Populated place	7	1	Uttar Pradesh	28.35	79.42	1277013
Barlett	United States of America						Populated place	8	0	Tennessee	35.22	-89.84	4604183
Barnaul	Russia						Admin-1 capital	3	0	Altay	53.35	83.75	1510853
Barquisimeto	Venezuela						Admin-1 capital	6	1	Lara	10.05	-69.3	3648522
Barranquilla	Colombia	La Arenosa, The sandy, Curramba la Bella, Curramba the Beauty	La Arenosa				Admin-1 capital	4	1	Atlántico	10.96	-74.8	3689147
Barrow	United States of America						Populated place	3	0	Alaska	71.29	-156.79	5880054
Barstow	United States of America						Populated place	7	0	California	34.9	-117.02	5326297
Bartlesville	United States of America						Populated place	8	0	Oklahoma	36.75	-95.98	4529987
Basra	Iraq						Admin-1 capital	4	1	Al-Basrah	30.51	47.81	388349
Basseterre	Saint Kitts and Nevis						Admin-0 capital	4	0		17.3	-62.72	3575551
